,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[168.785, 1.0, 153.635, 3.0, 155.529, 5.0, 166.891, 1.0]",25.593457438499502,18.92666475384443,22.84780864904009,20.228816996963243,53.21999915996475,21.56519135022242,23.672044551923978,19.153213460773376,22.47167422880907,22.70666749967007,24.181490940542123,19.569005000793013,21.974655330011643,23.854291637641687,22.49638855506127,22.23108896493698
"[168.785, 5.0, 153.635, 5.0, 155.529, 5.0, 166.891, 1.0]",53.06287953675406,19.82845821232094,20.81451695229728,17.098512491122843,21.581655560475173,17.232442029742447,23.607030759663033,16.39400422304532,22.827667107570637,19.1882719084623,18.2764693295392,19.171854145475635,18.619733388600846,19.33907004525972,21.390770943234287,18.82714861159616
"[168.785, 3.0, 153.635, 3.0, 155.529, 1.0, 166.891, 5.0]",32.47983956627708,32.22924618777309,27.53767782908594,27.45381494875629,31.124631990435084,30.378822789127653,28.025998215658436,26.867866624065986,52.188051476147855,29.388721623158137,22.81710754842834,27.469905961420142,31.459092913613613,30.475687867546032,25.786695956087023,27.505882029734817
"[168.785, 1.0, 153.635, 1.0, 155.529, 5.0, 166.891, 1.0]",20.843674568642225,16.47328922011865,53.97747780287512,20.77721145730275,18.415038058646605,15.595418204186469,17.976416612163536,18.55625113556358,17.159003822086657,17.914877886539003,19.059199361487305,20.096966064433047,18.371841291392194,21.37040931002664,15.155480984137254,13.980154471100208
"[168.785, 3.0, 153.635, 5.0, 155.529, 1.0, 166.891, 1.0]",26.40395730969563,17.197116902992654,24.283067911325112,24.084928851832306,26.22505425232479,46.8569948103535,19.613173473162174,25.287166316629918,23.957448382103703,20.901405944385566,21.976430569646666,23.91378451518806,28.42344946477724,24.799914964826133,22.65303902776966,19.92962044923053
"[168.785, 5.0, 153.635, 3.0, 155.529, 5.0, 166.891, 1.0]",27.3641065678231,23.51417886882535,20.806335709029074,21.031257626488678,26.94399208029827,20.009566329915188,25.847271815785074,46.30250584596795,23.802162404658937,24.14196911597948,21.78591215385987,26.53687267496687,25.20850183302087,22.436928794410264,26.158838104004737,26.014639533363994
"[168.785, 5.0, 153.635, 1.0, 155.529, 1.0, 166.891, 3.0]",23.41356329937227,23.969241505518493,18.55745434306167,22.388144186340384,23.13358258137029,22.06679026767101,21.882279886108037,47.86940001441605,23.038190819623196,25.581122711694867,23.476357225714306,21.65397334916357,23.482212153126177,25.90578744729292,24.50065690821128,24.830431079421373
"[168.785, 5.0, 153.635, 3.0, 155.529, 1.0, 166.891, 5.0]",27.00310348837736,19.792704604131146,22.401017821650445,20.606719329347698,22.93927878733438,24.31610665450146,25.610014446584056,47.329229842005645,25.40991915187381,25.44645221157199,21.376365852813343,23.1988849341997,24.519361074639374,29.0568431486967,24.160666233552924,19.712902355257345
"[168.785, 1.0, 153.635, 3.0, 155.529, 1.0, 166.891, 3.0]",30.44431990178674,32.695379693320916,26.72335729729732,27.544845927964342,29.11979737993033,32.186862693043395,47.56342141999577,27.706534994406944,27.28538327439129,25.96564338413709,28.30126923535085,28.259101419060325,24.0504292996599,27.510862445954242,25.108235279636425,25.84532291069837
"[168.785, 1.0, 153.635, 5.0, 155.529, 5.0, 166.891, 3.0]",23.686486144200124,53.15894551889029,22.75944781674438,22.972577830050867,25.759757944888097,29.315282933776476,22.148182250898394,29.744546246987937,21.663470955034047,18.517112897977647,19.050670054149606,23.1474032467009,18.993676813774155,24.483261710499523,22.600148836644905,23.182424232459525
"[168.785, 5.0, 153.635, 5.0, 155.529, 3.0, 166.891, 3.0]",32.38641933968199,31.298732373500968,30.270197000315147,31.188118333689346,31.386604686630484,30.81406183994289,29.828914346599227,31.7319188501201,31.316387353267565,34.20275091497676,53.81326785131322,28.300167819240958,30.85229033677166,34.56512995619036,28.84585538803465,31.474739689070717
"[168.785, 3.0, 153.635, 3.0, 155.529, 3.0, 166.891, 5.0]",35.07584808909628,34.081298715155654,34.31642398126161,36.963207788861936,36.79356243583301,35.12340314875276,32.35151595423859,39.95302475318618,37.9352137523482,35.08935325974464,38.02377170371128,38.79057592067431,33.00767290102502,36.87371152215619,36.85787719798353,54.04092326668772
"[168.785, 3.0, 153.635, 1.0, 155.529, 1.0, 166.891, 5.0]",28.94118362943292,20.43903630985188,21.299024319516004,21.90296735064256,22.317729123558664,22.031106798435953,17.798185074148684,21.687539805959435,28.780258839233145,24.378617319843364,22.915195981831253,19.66294758422438,23.9293742853708,18.887355348312493,45.30426902931582,22.145274638642302
"[0.0, 3.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[168.785, 5.0, 153.635, 3.0, 155.529, 5.0, 166.891, 3.0]",30.82144994907865,27.62559410311715,25.4554457237757,30.64226309324712,31.32426368235533,31.147876669446415,32.90317631671064,28.936747268563998,30.431166206392025,53.09672494062044,31.247918629567085,32.150095685016,31.089763316551803,32.43528302755496,27.43988630397178,31.114572194365547
"[168.785, 1.0, 153.635, 3.0, 155.529, 5.0, 166.891, 3.0]",33.625056467099874,32.573452802339084,33.86518517765323,53.79760824906708,32.56724486539049,28.35114824155591,30.79324853447339,32.74474463955581,26.513725710560795,26.407636457653126,25.88946525557209,25.849023337971886,25.974996569494223,25.05048645084987,25.579704960156565,28.32029979555145
"[168.785, 3.0, 153.635, 5.0, 155.529, 3.0, 166.891, 5.0]",25.80441378091697,29.16062855803014,28.860410300862686,51.65775132894805,33.60421736094733,29.39140165480587,30.021990228602995,27.38938479605126,31.510740878988585,29.591600808121765,30.22546744067863,30.787611786326885,30.981307297352323,32.90960532528151,28.214836979057818,32.27929683612172
"[168.785, 1.0, 153.635, 5.0, 155.529, 1.0, 166.891, 5.0]",19.46647083576791,21.618015424725254,15.53315882049945,19.7206285642869,15.84882902253852,22.124003231716042,18.972738654205266,21.962727510451973,11.83947245355523,14.45969935297814,21.006063346479863,17.732673476943923,16.92128916201566,19.55807248160594,18.597221612340974,47.22776311576501
"[168.785, 3.0, 153.635, 5.0, 155.529, 5.0, 166.891, 3.0]",32.844864744027326,30.911391015693937,25.08650503091961,30.59394594214406,30.08769068829927,31.545615031233336,27.045652925478457,28.780824225478458,33.98043616811996,30.949601992984917,29.98555564021502,31.146773711160723,52.791634717682946,33.252851134282615,32.38103159160595,28.188173234929096
"[168.785, 5.0, 153.635, 1.0, 155.529, 5.0, 166.891, 3.0]",22.74319222547721,26.420551522261377,28.679929051153874,28.950735195280224,20.216135765636785,19.823985269158232,47.7240424714282,20.392620595952415,24.908854207052485,28.912563596466,24.96701328685616,24.504141417665185,19.449688588101594,21.17509845826544,21.22106676065451,22.200232553920582
"[168.785, 5.0, 153.635, 3.0, 155.529, 5.0, 166.891, 5.0]",28.449871900739506,23.699426323583552,23.151290251161967,23.370034481789872,24.815579542464437,20.95618810750224,24.69912202301599,23.912571447953283,27.14728370799332,26.84351368130843,22.60460502648655,27.49950887455072,26.290713338399158,28.72980571984757,22.523017855312524,55.680927816176556
