,state,action,reward
73,"[2.0, 2.5, 1.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 0, 0, 1]",4.0
74,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
75,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
76,"[1.0, 2.5, 0.1, 2.5, 0.1, 2.5, 1.0, 2.5]","[0, 0, 0, 0]",4.0
77,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
78,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
79,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
80,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
81,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
82,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[0, 1, 1, 0]",4.0
83,"[1.0, 2.5, 1.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 0, 1, 1]",3.9024391174316406
84,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
85,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
86,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
87,"[0.1, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[0, 1, 0, 1]",4.0
88,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
89,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
90,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
91,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
92,"[0.1, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",3.9024391174316406
93,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
94,"[1.0, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[1, 1, 0, 1]",3.9024391174316406
95,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
96,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
97,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
98,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",4.0
99,"[2.0, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
100,"[0.1, 2.5, 2.0, 2.5, 0.1, 2.5, 1.0, 2.5]","[0, 1, 0, 0]",4.0
101,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
102,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
103,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[0, 1, 1, 0]",4.0
104,"[1.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 0, 1, 1]",4.0
105,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
106,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
107,"[1.0, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[0, 1, 0, 1]",4.0
108,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
109,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
110,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
111,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
112,"[1.0, 2.5, 1.0, 2.5, 0.1, 2.5, 1.0, 2.5]","[1, 1, 0, 0]",3.9024391174316406
113,"[0.1, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[0, 1, 0, 1]",4.0
114,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
115,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
116,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
117,"[2.0, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
118,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
119,"[2.0, 2.5, 0.1, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",3.9024391174316406
120,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
121,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
122,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
123,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
124,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
125,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
126,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
127,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
128,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
129,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
130,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
131,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
132,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
133,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
134,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
135,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
136,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
137,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
138,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
139,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
140,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
141,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
142,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",4.0
143,"[2.0, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[1, 1, 0, 1]",4.0
144,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
145,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
146,"[2.0, 2.5, 0.1, 2.5, 0.1, 2.5, 2.0, 2.5]","[1, 0, 0, 1]",4.0
147,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
148,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
149,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
150,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
151,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
152,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
153,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
154,"[1.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
155,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
156,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
157,"[2.0, 2.5, 2.0, 2.5, 0.1, 2.5, 2.0, 2.5]","[1, 1, 0, 1]",4.0
158,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 0]",4.0
159,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
160,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
161,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
162,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
163,"[2.0, 2.5, 0.1, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 0, 1, 1]",4.0
164,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
165,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
166,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
167,"[2.0, 2.5, 2.0, 2.5, 1.0, 2.5, 2.0, 2.5]","[1, 1, 0, 1]",4.0
168,"[0.1, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[0, 1, 1, 1]",4.0
169,"[2.0, 2.5, 1.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
170,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
171,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
172,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 1.0, 2.5]","[1, 1, 1, 1]",3.9024391174316406
173,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
174,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 2.0, 2.5]","[1, 1, 1, 1]",7.61904764175415
175,"[2.0, 2.5, 2.0, 2.5, 2.0, 2.5, 0.1, 2.5]","[1, 1, 1, 0]",4.0
